# Kootenai River at Porthill (08NH021)
year,max
1928,2350
1929,1680
1930,1730
1931,1470
1932,2190
1933,2640
1934,2530
1935,1970
1936,1690
1937,1540
1938,2580
1939,1450
1940,1550
1941,1100
1942,2320
1943,1930
1944,943
1945,1760
1946,2360
1947,2580
1948,3540
1949,2460
1950,2590
1951,2510
1952,2020
1953,2240
1954,2890
1955,2510
1956,3230
1957,2330
1958,2300
1959,2640
1960,2190
1961,3310
1962,1800
1963,1810
1964,2640
1965,2140
1966,2470
1967,2780
1968,2130
1969,2590
1970,1860
1971,2550
1972,1700
1973,810
1974,1560
1975,1130
1976,1260
1977,691
1978,830
1979,762
1980,1050
1981,1260
1982,1280
1983,917
1984,711
1985,1030
1986,994
1987,909
1988,748
1989,954
1990,1100
1991,1520
1992,793
1993,804
1994,739
1995,1240
1996,1590
1997,1740
1998,1330
1999,1400
2000,1030
2001,473
2002,1420
2003,988
2004,872
2005,946
2006,1780
2007,1040
2008,1620
2009,1040
2010,1350
2011,1460
2012,1710
2013,1560
2014,1380
2015,1140
2016,1210
2017,1330
2018,1340
