# Bow River at Lake Louise (05BA001)
year,max
1913,54.9
1914,54.9
1915,84.7
1916,108
1917,45.3
1918,123
1919,47.9
1965,46.4
1966,39.6
1967,62.9
1968,50.1
1969,50.4
1970,37.7
1971,41.1
1973,43.3
1974,69.9
1976,43.6
1977,41.9
1978,44.5
1979,37.1
1980,46.9
1981,55.7
1982,49.3
1983,50.8
1984,60.8
1985,42.4
1986,68.9
1990,46.4
1991,47.3
1992,38.1
1993,31.5
1994,35.9
1995,45.4
1996,54.8
1997,46.5
1998,34.1
1999,46.5
2000,38.7
2001,36.6
2002,57.7
2003,38.2
2004,40
2005,33.4
2006,43.8
2007,66.8
2008,44.6
2009,32.1
2010,35.2
2011,40.9
2012,75.7
2013,64.5
2014,55.4
2015,51.6
2016,37.2
2017,61.4
2018,48
2019,48.7
2020,58.3
2021,62.5
2022,48.3
2023,36
