# Athabasca River at Athabasca (07BE001)
year,max
1913,1670
1914,3090
1915,2760
1916,2080
1917,2490
1918,1470
1919,1030
1920,2500
1921,1480
1922,923
1923,1870
1924,1550
1925,1900
1926,1470
1927,2230
1928,2200
1929,1150
1930,1780
1931,328
1932,NaN
1933,NaN
1934,NaN
1935,NaN
1936,NaN
1937,NaN
1938,1060
1939,1250
1940,1640
1941,1980
1942,1700
1943,2080
1944,4810
1945,951
1946,1630
1947,2000
1948,3650
1949,1030
1950,1570
1951,1800
1952,2430
1953,1830
1954,5440
1955,2230
1956,1720
1957,1160
1958,2270
1959,1720
1960,2810
1961,1090
1962,1550
1963,1590
1964,1600
1965,3510
1966,1740
1967,1630
1968,1290
1969,3000
1970,1530
1971,4470
1972,3370
1973,1840
1974,2520
1975,1790
1976,1630
1977,2340
1978,2290
1979,2230
1980,4190
1981,1240
1982,3420
1983,1550
1984,1390
1985,1450
1986,4400
1987,2040
1988,1580
1989,2320
1990,2690
1991,1870
1992,1020
1993,919
1994,1640
1995,2160
1996,2570
1997,2880
1998,1610
1999,2100
2000,1510
2001,2580
2002,1130
2003,1370
2004,1800
2005,2010
2006,1160
2007,2290
2008,1500
2009,1460
2010,906
2011,3810
2012,3130
2013,2180
2014,1370
2015,1020
2016,1220
2017,2300
2018,1860
2019,2710
2020,3900
