# Chilliwack River at Chilliwack Lake (08MH016)
year,max
1922,62.9
1923,74.5
1924,79
1925,35.1
1926,62.3
1927,65.7
1928,53.8
1929,46.2
1930,45.9
1931,84.1
1932,86.1
1933,75
1934,88.1
1935,68
1936,66.5
1937,60.9
1938,60.6
1939,52.7
1940,66
1941,47
1942,66.5
1943,36
1944,53.2
1945,72.5
1946,64.3
1947,97.7
1948,85.5
1949,94.9
1950,NaN
1951,NaN
1952,NaN
1953,NaN
1954,NaN
1955,NaN
1956,62.6
1957,75.6
1958,63.7
1959,55.8
1960,85
1961,49.6
1962,53.5
1963,73.6
1964,53.2
1965,60.3
1966,94
1967,86.1
1968,74.2
1969,59.7
1970,71.6
1971,107
1972,47.3
1973,108
1974,93.2
1975,68
1976,41.9
1977,58.9
1978,92.8
1979,118
1980,64
1981,92
1982,75.2
1983,65.3
1984,65
1985,79.7
1986,75.7
1987,57.2
1988,97.9
1989,132
1990,65.3
1991,56.7
1992,59
1993,47.5
1994,123
1995,48.3
1996,92.7
1997,52.8
1998,108
1999,53.8
2000,61.5
2001,81.1
2002,161
2003,44.4
2004,64.2
2005,103
2006,76.4
2007,100
2008,64.6
2009,50
2010,66.4
2011,70.5
2012,95.8
2013,71.6
2014,85.2
2015,57.6
2016,98
