# Okanagan River at Penticton (08NM050)
year,max
1921,21.3
1922,24.4
1923,16.8
1924,28.6
1925,20
1926,21.8
1927,71.9
1928,17.2
1929,14.1
1930,9.97
1931,24.5
1932,26.8
1933,26.1
1934,25.2
1935,25.9
1936,24.2
1937,22.8
1938,12
1939,7.65
1940,22.4
1941,36.2
1942,21.8
1943,18.5
1944,25.9
1945,31.1
1946,20
1947,42.5
1948,36.5
1949,29.2
1950,36.2
1951,25.9
1952,23.5
1953,32.3
1954,29.4
1955,46.2
1956,34.5
1957,57.5
1958,56.1
1959,30.9
1960,43.9
1961,26.8
1962,10.3
1963,29.2
1964,37.1
1965,13.3
1966,26.1
1967,44.2
1968,48.4
1969,28.3
1970,41.9
1971,59.5
1972,23.8
1973,59.5
1974,58
1975,43.3
1976,28.3
1977,76.7
1978,17.8
1979,28.8
1980,59.5
1981,57.4
1982,62.2
1983,56.5
1984,27.4
1985,51.8
1986,22
1987,13.9
1988,44.5
1989,69.9
1990,54.5
1991,21.3
1992,59.6
1993,32.9
1994,49.2
1995,67.5
1996,77.9
1997,41.5
1998,57.9
1999,56.4
2000,15.8
2001,52.6
2002,14.3
2003,42.9
2004,52.2
2005,66.8
2006,27.8
2007,50
2008,12.2
2009,41.5
2010,58.5
2011,70
2012,64.8
2013,56.2
2014,40.2
2015,69.5
2016,77.9
2017,66.3
