# Mission Creek near East Kelowna (08NM116)
year,max
1949,49.3
1950,52.1
1951,49.3
1952,50.7
1953,62.3
1954,36.2
1955,34
1956,38.5
1957,42.5
1958,34
1959,53.8
1960,49
1961,64.6
1963,35.4
1964,71.4
1965,39.4
1967,45.9
1968,50.1
1969,87.5
1970,34.8
1971,62.6
1972,81.8
1973,37.7
1974,66
1975,48.7
1976,71.1
1977,36
1978,44.5
1979,43
1980,46.2
1981,60.6
1982,54.5
1983,60.2
1984,52.4
1985,52.3
1986,72.5
1987,43.4
1988,37.9
1989,39
1990,69.9
1991,56.7
1992,29.8
1993,58
1994,39.7
1995,33.1
1996,53.9
1997,84.5
1998,44.7
1999,52
2000,52.5
2001,34.6
2002,59
2003,33
2004,40.1
2005,54.4
2006,72
2007,39.3
2008,60.7
2009,33.1
2010,39.1
2011,56.2
2012,86.2
2013,81.8
2014,45
2015,26.3
2016,69.3
2017,80.8
2018,95.4
2019,25.2
2020,77.5
2021,28.2
2022,87.9
2023,56.6
